,tc,call_volume,aht,service_level,art,positions,resources_shifts
261,2022-12-03 17:15:00.000,63,154,80,30,14,0
262,2022-12-03 17:30:00.000,58,167,80,30,14,0
263,2022-12-03 17:45:00.000,55,158,80,30,13,0
264,2022-12-03 18:00:00.000,52,161,80,30,12,0
265,2022-12-03 18:15:00.000,55,151,80,30,12,0
266,2022-12-03 18:30:00.000,52,162,80,30,12,0
267,2022-12-03 18:45:00.000,44,156,80,30,11,0
268,2022-12-03 19:00:00.000,44,175,80,30,12,0
269,2022-12-03 19:15:00.000,36,151,80,30,9,0
270,2022-12-03 19:30:00.000,38,151,80,30,9,0
271,2022-12-03 19:45:00.000,33,142,80,30,8,0
272,2022-12-03 20:00:00.000,36,155,80,30,9,0
273,2022-12-03 20:15:00.000,29,169,80,30,8,0
274,2022-12-03 20:30:00.000,31,184,80,30,9,0
275,2022-12-03 20:45:00.000,27,174,80,30,8,0
276,2022-12-03 21:00:00.000,28,175,80,30,8,3
277,2022-12-03 21:15:00.000,24,143,80,30,6,3
278,2022-12-03 21:30:00.000,20,244,80,30,8,3
279,2022-12-03 21:45:00.000,18,147,80,30,5,5
280,2022-12-03 22:00:00.000,18,128,80,30,5,5
281,2022-12-03 22:15:00.000,15,140,80,30,4,5
282,2022-12-03 22:30:00.000,17,164,80,30,5,5
283,2022-12-03 22:45:00.000,13,140,80,30,4,5
284,2022-12-03 23:00:00.000,9,126,80,30,3,5
285,2022-12-03 23:15:00.000,10,99,80,30,3,5
286,2022-12-03 23:30:00.000,8,203,80,30,4,5
287,2022-12-03 23:45:00.000,8,152,80,30,3,5
288,2022-12-04 00:00:00.000,9,219,80,30,4,3
289,2022-12-04 00:15:00.000,7,197,80,30,3,3
290,2022-12-04 00:30:00.000,5,83,80,30,2,3
291,2022-12-04 00:45:00.000,6,173,80,30,3,3
292,2022-12-04 01:00:00.000,4,78,80,30,2,3
293,2022-12-04 01:15:00.000,3,73,80,30,1,3
294,2022-12-04 01:30:00.000,6,169,80,30,3,3
295,2022-12-04 01:45:00.000,6,81,80,30,2,3
296,2022-12-04 02:00:00.000,4,180,80,30,2,3
297,2022-12-04 02:15:00.000,7,157,80,30,3,3
298,2022-12-04 02:30:00.000,5,246,80,30,3,3
299,2022-12-04 02:45:00.000,6,165,80,30,3,3
300,2022-12-04 03:00:00.000,7,247,80,30,4,3
301,2022-12-04 03:15:00.000,6,133,80,30,3,3
302,2022-12-04 03:30:00.000,6,109,80,30,2,3
303,2022-12-04 03:45:00.000,7,126,80,30,3,3
304,2022-12-04 04:00:00.000,8,109,80,30,3,3
305,2022-12-04 04:15:00.000,11,110,80,30,3,3
306,2022-12-04 04:30:00.000,9,93,80,30,3,3
307,2022-12-04 04:45:00.000,12,118,80,30,3,3
308,2022-12-04 05:00:00.000,15,64,80,30,3,3
309,2022-12-04 05:15:00.000,12,108,80,30,3,3
310,2022-12-04 05:30:00.000,15,105,80,30,4,3
311,2022-12-04 05:45:00.000,14,113,80,30,4,3
312,2022-12-04 06:00:00.000,14,101,80,30,3,1
313,2022-12-04 06:15:00.000,23,143,80,30,6,0
314,2022-12-04 06:30:00.000,21,144,80,30,6,0
315,2022-12-04 06:45:00.000,21,138,80,30,5,0
316,2022-12-04 07:00:00.000,27,131,80,30,6,0
317,2022-12-04 07:15:00.000,29,116,80,30,6,0
318,2022-12-04 07:30:00.000,32,142,80,30,8,0
319,2022-12-04 07:45:00.000,33,142,80,30,8,0
320,2022-12-04 08:00:00.000,40,141,80,30,9,0
321,2022-12-04 08:15:00.000,38,147,80,30,9,0
322,2022-12-04 08:30:00.000,43,160,80,30,11,0
323,2022-12-04 08:45:00.000,45,159,80,30,11,0
324,2022-12-04 09:00:00.000,54,154,80,30,12,0
325,2022-12-04 09:15:00.000,60,154,80,30,13,0
326,2022-12-04 09:30:00.000,69,150,80,30,15,0
327,2022-12-04 09:45:00.000,66,146,80,30,14,0
328,2022-12-04 10:00:00.000,70,142,80,30,14,0
329,2022-12-04 10:15:00.000,75,155,80,30,16,0
330,2022-12-04 10:30:00.000,76,147,80,30,16,0
331,2022-12-04 10:45:00.000,82,150,80,30,17,0
332,2022-12-04 11:00:00.000,82,148,80,30,17,0
333,2022-12-04 11:15:00.000,83,156,80,30,18,0
334,2022-12-04 11:30:00.000,89,169,80,30,20,0
335,2022-12-04 11:45:00.000,81,155,80,30,17,0
336,2022-12-04 12:00:00.000,81,149,80,30,17,0
337,2022-12-04 12:15:00.000,81,157,80,30,18,0
338,2022-12-04 12:30:00.000,81,156,80,30,18,0
339,2022-12-04 12:45:00.000,79,162,80,30,18,0
340,2022-12-04 13:00:00.000,77,175,80,30,19,0
341,2022-12-04 13:15:00.000,77,151,80,30,16,0
342,2022-12-04 13:30:00.000,72,155,80,30,16,0
343,2022-12-04 13:45:00.000,75,161,80,30,17,0
344,2022-12-04 14:00:00.000,71,129,80,30,13,0
345,2022-12-04 14:15:00.000,69,131,80,30,13,0
346,2022-12-04 14:30:00.000,71,137,80,30,14,0
347,2022-12-04 14:45:00.000,69,156,80,30,15,0
348,2022-12-04 15:00:00.000,67,155,80,30,15,0
349,2022-12-04 15:15:00.000,67,184,80,30,17,0
350,2022-12-04 15:30:00.000,61,150,80,30,13,0
351,2022-12-04 15:45:00.000,65,163,80,30,15,0
352,2022-12-04 16:00:00.000,58,141,80,30,12,0
353,2022-12-04 16:15:00.000,60,143,80,30,13,0
354,2022-12-04 16:30:00.000,61,156,80,30,14,0
355,2022-12-04 16:45:00.000,55,150,80,30,12,0
356,2022-12-04 17:00:00.000,57,147,80,30,12,0
357,2022-12-04 17:15:00.000,53,149,80,30,12,0
358,2022-12-04 17:30:00.000,54,145,80,30,12,0
359,2022-12-04 17:45:00.000,52,155,80,30,12,0
360,2022-12-04 18:00:00.000,49,155,80,30,11,0
361,2022-12-04 18:15:00.000,45,146,80,30,10,0
362,2022-12-04 18:30:00.000,46,154,80,30,11,0
363,2022-12-04 18:45:00.000,46,144,80,30,10,0
364,2022-12-04 19:00:00.000,41,141,80,30,9,0
365,2022-12-04 19:15:00.000,36,143,80,30,8,0
366,2022-12-04 19:30:00.000,37,162,80,30,10,0
367,2022-12-04 19:45:00.000,36,174,80,30,10,0
368,2022-12-04 20:00:00.000,34,150,80,30,8,0
369,2022-12-04 20:15:00.000,30,163,80,30,8,0
370,2022-12-04 20:30:00.000,30,142,80,30,7,0
371,2022-12-04 20:45:00.000,30,140,80,30,7,0
372,2022-12-04 21:00:00.000,28,166,80,30,8,2
373,2022-12-04 21:15:00.000,26,195,80,30,8,3
374,2022-12-04 21:30:00.000,20,206,80,30,7,3
375,2022-12-04 21:45:00.000,24,142,80,30,6,3
376,2022-12-04 22:00:00.000,20,181,80,30,7,3
377,2022-12-04 22:15:00.000,17,150,80,30,5,3
378,2022-12-04 22:30:00.000,14,199,80,30,5,3
379,2022-12-04 22:45:00.000,13,119,80,30,4,3
380,2022-12-04 23:00:00.000,11,126,80,30,3,3
381,2022-12-04 23:15:00.000,10,71,80,30,2,3
382,2022-12-04 23:30:00.000,8,93,80,30,2,3
383,2022-12-04 23:45:00.000,7,153,80,30,3,3
384,2022-12-05 00:00:00.000,7,150,80,30,3,10
385,2022-12-05 00:15:00.000,6,83,80,30,2,10
386,2022-12-05 00:30:00.000,6,256,80,30,4,10
387,2022-12-05 00:45:00.000,7,84,80,30,2,10
388,2022-12-05 01:00:00.000,6,147,80,30,3,10
389,2022-12-05 01:15:00.000,11,80,80,30,3,10
390,2022-12-05 01:30:00.000,13,168,80,30,5,10
391,2022-12-05 01:45:00.000,10,143,80,30,4,10
392,2022-12-05 02:00:00.000,14,128,80,30,4,10
393,2022-12-05 02:15:00.000,16,180,80,30,6,10
394,2022-12-05 02:30:00.000,22,124,80,30,5,10
395,2022-12-05 02:45:00.000,26,166,80,30,7,10
396,2022-12-05 03:00:00.000,39,209,80,30,12,10
397,2022-12-05 03:15:00.000,33,214,80,30,11,10
398,2022-12-05 03:30:00.000,33,159,80,30,9,10
399,2022-12-05 03:45:00.000,45,122,80,30,9,10
400,2022-12-05 04:00:00.000,47,153,80,30,11,10
401,2022-12-05 04:15:00.000,55,165,80,30,13,10
402,2022-12-05 04:30:00.000,57,157,80,30,13,10
403,2022-12-05 04:45:00.000,64,154,80,30,14,10
404,2022-12-05 05:00:00.000,77,159,80,30,17,10
405,2022-12-05 05:15:00.000,97,239,80,30,30,10
406,2022-12-05 05:30:00.000,102,242,80,30,32,10
407,2022-12-05 05:45:00.000,117,260,80,30,39,10
408,2022-12-05 06:00:00.000,118,163,80,30,25,6
409,2022-12-05 06:15:00.000,130,507,80,30,81,5
410,2022-12-05 06:30:00.000,137,217,80,30,38,5
411,2022-12-05 06:45:00.000,156,256,80,30,50,0
412,2022-12-05 07:00:00.000,166,376,80,30,76,0
413,2022-12-05 07:15:00.000,185,388,80,30,87,0
414,2022-12-05 07:30:00.000,218,310,80,30,82,0
415,2022-12-05 07:45:00.000,241,270,80,30,79,0
416,2022-12-05 08:00:00.000,264,366,80,30,115,0
417,2022-12-05 08:15:00.000,294,261,80,30,92,0
418,2022-12-05 08:30:00.000,335,359,80,30,142,0
419,2022-12-05 08:45:00.000,365,350,80,30,150,0
420,2022-12-05 09:00:00.000,419,446,80,30,218,0
421,2022-12-05 09:15:00.000,500,350,80,30,204,0
422,2022-12-05 09:30:00.000,566,435,80,30,285,0
423,2022-12-05 09:45:00.000,600,470,80,30,325,0
424,2022-12-05 10:00:00.000,619,471,80,30,336,0
425,2022-12-05 10:15:00.000,640,451,80,30,332,0
426,2022-12-05 10:30:00.000,650,432,80,30,323,0
427,2022-12-05 10:45:00.000,654,467,80,30,351,0
428,2022-12-05 11:00:00.000,667,504,80,30,386,0
429,2022-12-05 11:15:00.000,670,499,80,30,384,0
430,2022-12-05 11:30:00.000,655,474,80,30,357,0
431,2022-12-05 11:45:00.000,656,380,80,30,287,0
432,2022-12-05 12:00:00.000,655,439,80,30,331,0
433,2022-12-05 12:15:00.000,650,582,80,30,434,0
434,2022-12-05 12:30:00.000,657,470,80,30,355,0
435,2022-12-05 12:45:00.000,652,576,80,30,431,0
436,2022-12-05 13:00:00.000,641,454,80,30,335,0
437,2022-12-05 13:15:00.000,614,466,80,30,330,0
438,2022-12-05 13:30:00.000,613,420,80,30,297,0
439,2022-12-05 13:45:00.000,601,469,80,30,325,0
440,2022-12-05 14:00:00.000,603,471,80,30,327,0
441,2022-12-05 14:15:00.000,609,490,80,30,344,0
442,2022-12-05 14:30:00.000,621,431,80,30,309,0
443,2022-12-05 14:45:00.000,627,454,80,30,328,0
444,2022-12-05 15:00:00.000,612,471,80,30,332,0
445,2022-12-05 15:15:00.000,591,415,80,30,283,0
446,2022-12-05 15:30:00.000,575,558,80,30,370,0
447,2022-12-05 15:45:00.000,564,583,80,30,379,0
448,2022-12-05 16:00:00.000,532,504,80,30,310,0
449,2022-12-05 16:15:00.000,496,557,80,30,320,0
450,2022-12-05 16:30:00.000,473,455,80,30,250,0
451,2022-12-05 16:45:00.000,439,495,80,30,253,0
452,2022-12-05 17:00:00.000,397,584,80,30,270,0
453,2022-12-05 17:15:00.000,363,482,80,30,205,0
454,2022-12-05 17:30:00.000,334,369,80,30,146,0
455,2022-12-05 17:45:00.000,298,438,80,30,154,0
456,2022-12-05 18:00:00.000,273,369,80,30,120,0
457,2022-12-05 18:15:00.000,221,592,80,30,156,0
458,2022-12-05 18:30:00.000,186,291,80,30,66,0
459,2022-12-05 18:45:00.000,168,566,80,30,115,0
460,2022-12-05 19:00:00.000,152,657,80,30,120,0
461,2022-12-05 19:15:00.000,125,380,80,30,59,0
462,2022-12-05 19:30:00.000,113,504,80,30,71,0
463,2022-12-05 19:45:00.000,105,188,80,30,26,0
464,2022-12-05 20:00:00.000,95,175,80,30,22,0
465,2022-12-05 20:15:00.000,83,448,80,30,48,0
466,2022-12-05 20:30:00.000,86,166,80,30,20,0
467,2022-12-05 20:45:00.000,79,587,80,30,59,0
468,2022-12-05 21:00:00.000,69,170,80,30,17,4
469,2022-12-05 21:15:00.000,57,440,80,30,33,5
470,2022-12-05 21:30:00.000,55,157,80,30,13,5
471,2022-12-05 21:45:00.000,51,171,80,30,13,10
472,2022-12-05 22:00:00.000,49,170,80,30,12,10
473,2022-12-05 22:15:00.000,35,177,80,30,10,10
474,2022-12-05 22:30:00.000,32,193,80,30,10,10
475,2022-12-05 22:45:00.000,29,168,80,30,8,10
476,2022-12-05 23:00:00.000,26,196,80,30,8,10
477,2022-12-05 23:15:00.000,21,197,80,30,7,10
