tc,call_volume,aht,service_level,art,positions,positions_quantile
2023-03-02 19:45:00+03:00,92,414.6739130434783,80,30,49,49
2023-03-02 20:00:00+03:00,74,409.72972972972974,80,30,39,39
2023-03-02 20:15:00+03:00,66,406.95454545454544,80,30,35,35
2023-03-02 20:30:00+03:00,58,420.1206896551725,80,30,32,32
2023-03-02 20:45:00+03:00,56,417.7857142857143,80,30,31,31
2023-03-02 21:00:00+03:00,48,438.375,80,30,28,28
2023-03-02 21:15:00+03:00,43,406.72093023255815,80,30,24,24
2023-03-02 21:30:00+03:00,39,410.84615384615387,80,30,22,22
2023-03-02 21:45:00+03:00,33,383.2121212121212,80,30,18,18
2023-03-02 22:00:00+03:00,35,406.2,80,30,20,20
2023-03-02 22:15:00+03:00,32,393.78125,80,30,18,18
2023-03-02 22:30:00+03:00,24,419.7916666666667,80,30,15,15
2023-03-02 22:45:00+03:00,18,391.77777777777777,80,30,11,11
2023-03-02 23:00:00+03:00,19,398.0,80,30,12,12
2023-03-02 23:15:00+03:00,16,384.25,80,30,10,10
2023-03-02 23:30:00+03:00,11,466.9090909090909,80,30,9,9
2023-03-02 23:45:00+03:00,12,413.25,80,30,9,9
2023-03-03 00:00:00+03:00,8,395.0,80,30,6,6
2023-03-03 00:15:00+03:00,6,355.0,80,30,5,5
2023-03-03 00:30:00+03:00,7,363.0,80,30,5,5
2023-03-03 00:45:00+03:00,6,420.0,80,30,5,5
2023-03-03 01:00:00+03:00,4,385.0,80,30,4,4
2023-03-03 01:15:00+03:00,5,368.0,80,30,4,4
2023-03-03 01:30:00+03:00,6,376.0,80,30,5,5
2023-03-03 01:45:00+03:00,8,386.0,80,30,6,6
2023-03-03 02:00:00+03:00,10,349.0,80,30,7,7
2023-03-03 02:15:00+03:00,7,340.0,80,30,5,5
2023-03-03 02:30:00+03:00,6,302.0,80,30,4,4
2023-03-03 02:45:00+03:00,9,330.0,80,30,6,6
2023-03-03 03:00:00+03:00,9,296.0,80,30,5,5
2023-03-03 03:15:00+03:00,11,302.0,80,30,6,6
2023-03-03 03:30:00+03:00,10,329.0,80,30,6,6
2023-03-03 03:45:00+03:00,12,359.0,80,30,8,8
2023-03-03 04:00:00+03:00,19,350.0,80,30,11,11
2023-03-03 04:15:00+03:00,17,360.0,80,30,10,10
2023-03-03 04:30:00+03:00,21,359.1428571428572,80,30,12,12
2023-03-03 04:45:00+03:00,18,364.05555555555554,80,30,11,11
2023-03-03 05:00:00+03:00,25,386.12,80,30,15,15
2023-03-03 05:15:00+03:00,28,370.3928571428572,80,30,15,15
2023-03-03 05:30:00+03:00,27,364.22222222222223,80,30,15,15
2023-03-03 05:45:00+03:00,32,360.6875,80,30,17,17
2023-03-03 06:00:00+03:00,37,370.7837837837838,80,30,20,20
2023-03-03 06:15:00+03:00,37,367.1081081081081,80,30,19,19
2023-03-03 06:30:00+03:00,38,374.4736842105263,80,30,20,20
2023-03-03 06:45:00+03:00,41,382.390243902439,80,30,22,22
2023-03-03 07:00:00+03:00,43,379.13953488372096,80,30,23,23
2023-03-03 07:15:00+03:00,49,378.8775510204082,80,30,25,25
2023-03-03 07:30:00+03:00,53,374.8301886792453,80,30,27,27
2023-03-03 07:45:00+03:00,58,382.5517241379311,80,30,30,30
2023-03-03 08:00:00+03:00,71,377.6901408450704,80,30,35,35
2023-03-03 08:15:00+03:00,76,381.8421052631579,80,30,38,38
2023-03-03 08:30:00+03:00,80,381.9625,80,30,40,40
2023-03-03 08:45:00+03:00,85,384.7058823529412,80,30,42,42
2023-03-03 09:00:00+03:00,92,374.6521739130435,80,30,44,44
2023-03-03 09:15:00+03:00,101,376.73267326732673,80,30,48,48
2023-03-03 09:30:00+03:00,116,367.19827586206895,80,30,54,54
2023-03-03 09:45:00+03:00,123,370.0,80,30,57,57
2023-03-03 10:00:00+03:00,129,366.9767441860465,80,30,59,59
2023-03-03 10:15:00+03:00,132,369.6363636363636,80,30,61,61
2023-03-03 10:30:00+03:00,137,377.1459854014599,80,30,64,64
2023-03-03 10:45:00+03:00,137,380.9124087591241,80,30,65,65
2023-03-03 11:00:00+03:00,137,392.05839416058393,80,30,66,66
2023-03-03 11:15:00+03:00,139,386.5323741007194,80,30,66,66
2023-03-03 11:30:00+03:00,139,385.1079136690648,80,30,66,66
2023-03-03 11:45:00+03:00,135,385.77777777777777,80,30,65,65
2023-03-03 12:00:00+03:00,133,400.6842105263158,80,30,66,66
2023-03-03 12:15:00+03:00,130,387.32307692307694,80,30,63,63
2023-03-03 12:30:00+03:00,129,386.7674418604651,80,30,62,62
2023-03-03 12:45:00+03:00,124,386.6935483870968,80,30,60,60
2023-03-03 13:00:00+03:00,121,385.495867768595,80,30,58,58
2023-03-03 13:15:00+03:00,118,394.0,80,30,58,58
2023-03-03 13:30:00+03:00,117,400.5982905982906,80,30,59,59
2023-03-03 13:45:00+03:00,107,405.6074766355141,80,30,55,55
2023-03-03 14:00:00+03:00,105,408.4,80,30,54,54
2023-03-03 14:15:00+03:00,105,402.0952380952381,80,30,53,53
2023-03-03 14:30:00+03:00,98,385.7755102040816,80,30,48,48
2023-03-03 14:45:00+03:00,95,388.05263157894734,80,30,47,47
2023-03-03 15:00:00+03:00,93,370.247311827957,80,30,44,44
2023-03-03 15:15:00+03:00,91,380.1098901098901,80,30,44,44
2023-03-03 15:30:00+03:00,93,368.7311827956989,80,30,44,44
2023-03-03 15:45:00+03:00,90,382.1333333333333,80,30,44,44
2023-03-03 16:00:00+03:00,83,376.89156626506025,80,30,40,40
2023-03-03 16:15:00+03:00,82,388.4634146341463,80,30,41,41
2023-03-03 16:30:00+03:00,76,393.7631578947368,80,30,39,39
2023-03-03 16:45:00+03:00,78,383.02564102564105,80,30,39,39
2023-03-03 17:00:00+03:00,66,375.45454545454544,80,30,33,33
2023-03-03 17:15:00+03:00,63,376.6031746031746,80,30,32,32
2023-03-03 17:30:00+03:00,58,372.44827586206895,80,30,29,29
2023-03-03 17:45:00+03:00,55,378.45454545454544,80,30,28,28
2023-03-03 18:00:00+03:00,52,376.5192307692308,80,30,27,27
2023-03-03 18:15:00+03:00,55,386.7090909090909,80,30,29,29
2023-03-03 18:30:00+03:00,52,379.0769230769231,80,30,27,27
2023-03-03 18:45:00+03:00,44,372.9090909090909,80,30,23,23
2023-03-03 19:00:00+03:00,44,366.45454545454544,80,30,22,22
2023-03-03 19:15:00+03:00,36,366.6666666666667,80,30,19,19
2023-03-03 19:30:00+03:00,38,377.10526315789474,80,30,20,20
2023-03-03 19:45:00+03:00,33,389.75757575757575,80,30,18,18
2023-03-03 20:00:00+03:00,36,383.3611111111111,80,30,20,20
2023-03-03 20:15:00+03:00,29,393.2068965517241,80,30,17,17
2023-03-03 20:30:00+03:00,31,394.61290322580646,80,30,18,18
2023-03-03 20:45:00+03:00,27,394.1851851851852,80,30,16,16
2023-03-03 21:00:00+03:00,28,387.8571428571428,80,30,16,16
2023-03-03 21:15:00+03:00,24,377.25,80,30,14,14
2023-03-03 21:30:00+03:00,20,375.0,80,30,12,12
2023-03-03 21:45:00+03:00,18,360.05555555555554,80,30,11,11
2023-03-03 22:00:00+03:00,18,357.0,80,30,10,10
2023-03-03 22:15:00+03:00,15,338.1333333333333,80,30,9,9
2023-03-03 22:30:00+03:00,17,355.0,80,30,10,10
2023-03-03 22:45:00+03:00,13,386.0,80,30,9,9
2023-03-03 23:00:00+03:00,9,417.0,80,30,7,7
2023-03-03 23:15:00+03:00,10,419.0,80,30,8,8
2023-03-03 23:30:00+03:00,8,457.0,80,30,7,7
2023-03-03 23:45:00+03:00,8,401.5,80,30,6,6
2023-03-04 00:00:00+03:00,9,408.0,80,30,7,7
2023-03-04 00:15:00+03:00,7,400.0,80,30,6,6
2023-03-04 00:30:00+03:00,5,419.0,80,30,5,5
2023-03-04 00:45:00+03:00,6,401.0,80,30,5,5
2023-03-04 01:00:00+03:00,4,391.0,80,30,4,4
2023-03-04 01:15:00+03:00,3,366.0,80,30,3,3
2023-03-04 01:30:00+03:00,6,323.0,80,30,4,4
2023-03-04 01:45:00+03:00,6,291.0,80,30,4,4
2023-03-04 02:00:00+03:00,4,277.0,80,30,3,3
2023-03-04 02:15:00+03:00,7,318.0,80,30,5,5
2023-03-04 02:30:00+03:00,5,307.0,80,30,4,4
2023-03-04 02:45:00+03:00,6,359.0,80,30,5,5
2023-03-04 03:00:00+03:00,7,287.0,80,30,4,4
2023-03-04 03:15:00+03:00,6,309.0,80,30,4,4
2023-03-04 03:30:00+03:00,6,265.0,80,30,4,4
2023-03-04 03:45:00+03:00,7,279.0,80,30,4,4
2023-03-04 04:00:00+03:00,8,279.0,80,30,5,5
2023-03-04 04:15:00+03:00,11,293.0,80,30,6,6
2023-03-04 04:30:00+03:00,9,292.0,80,30,5,5
2023-03-04 04:45:00+03:00,12,308.0,80,30,7,7
2023-03-04 05:00:00+03:00,15,323.0,80,30,8,8
2023-03-04 05:15:00+03:00,12,307.0,80,30,7,7
2023-03-04 05:30:00+03:00,15,322.0,80,30,8,8
2023-03-04 05:45:00+03:00,14,320.0,80,30,8,8
2023-03-04 06:00:00+03:00,14,333.0,80,30,8,8
2023-03-04 06:15:00+03:00,23,337.0,80,30,12,12
2023-03-04 06:30:00+03:00,21,347.3333333333333,80,30,12,12
2023-03-04 06:45:00+03:00,21,348.7619047619048,80,30,12,12
2023-03-04 07:00:00+03:00,27,342.0,80,30,14,14
2023-03-04 07:15:00+03:00,29,342.13793103448273,80,30,15,15
2023-03-04 07:30:00+03:00,32,341.0625,80,30,16,16
2023-03-04 07:45:00+03:00,33,353.24242424242425,80,30,17,17
2023-03-04 08:00:00+03:00,40,345.95,80,30,20,20
2023-03-04 08:15:00+03:00,38,367.1315789473685,80,30,20,20
2023-03-04 08:30:00+03:00,43,359.9767441860465,80,30,22,22
2023-03-04 08:45:00+03:00,45,377.9333333333333,80,30,23,23
2023-03-04 09:00:00+03:00,54,382.22222222222223,80,30,28,28
2023-03-04 09:15:00+03:00,60,373.9,80,30,30,30
2023-03-04 09:30:00+03:00,69,369.40579710144925,80,30,34,34
2023-03-04 09:45:00+03:00,66,365.09090909090907,80,30,32,32
2023-03-04 10:00:00+03:00,70,360.4857142857143,80,30,33,33
2023-03-04 10:15:00+03:00,75,366.0,80,30,36,36
2023-03-04 10:30:00+03:00,76,376.25,80,30,37,37
2023-03-04 10:45:00+03:00,82,369.4756097560976,80,30,39,39
2023-03-04 11:00:00+03:00,82,371.8536585365854,80,30,39,39
2023-03-04 11:15:00+03:00,83,374.73493975903614,80,30,40,40
2023-03-04 11:30:00+03:00,89,372.7415730337079,80,30,43,43
2023-03-04 11:45:00+03:00,81,364.3086419753087,80,30,38,38
2023-03-04 12:00:00+03:00,81,374.0246913580247,80,30,39,39
2023-03-04 12:15:00+03:00,81,359.77777777777777,80,30,38,38
2023-03-04 12:30:00+03:00,81,355.82716049382714,80,30,37,37
2023-03-04 12:45:00+03:00,79,367.1518987341772,80,30,38,38
2023-03-04 13:00:00+03:00,77,361.46753246753246,80,30,36,36
2023-03-04 13:15:00+03:00,77,359.1168831168831,80,30,36,36
2023-03-04 13:30:00+03:00,72,362.55555555555554,80,30,34,34
2023-03-04 13:45:00+03:00,75,370.8133333333333,80,30,36,36
2023-03-04 14:00:00+03:00,71,349.50704225352115,80,30,33,33
2023-03-04 14:15:00+03:00,69,364.82608695652175,80,30,33,33
2023-03-04 14:30:00+03:00,71,352.1549295774648,80,30,33,33
2023-03-04 14:45:00+03:00,69,370.3043478260869,80,30,34,34
2023-03-04 15:00:00+03:00,67,378.56716417910445,80,30,33,33
2023-03-04 15:15:00+03:00,67,390.4179104477612,80,30,34,34
2023-03-04 15:30:00+03:00,61,371.3606557377049,80,30,30,30
2023-03-04 15:45:00+03:00,65,370.46153846153845,80,30,32,32
2023-03-04 16:00:00+03:00,58,347.51724137931035,80,30,27,27
2023-03-04 16:15:00+03:00,60,367.05,80,30,29,29
2023-03-04 16:30:00+03:00,61,346.21311475409834,80,30,28,28
2023-03-04 16:45:00+03:00,55,375.96363636363634,80,30,28,28
2023-03-04 17:00:00+03:00,57,361.561403508772,80,30,28,28
2023-03-04 17:15:00+03:00,53,363.7547169811321,80,30,26,26
2023-03-04 17:30:00+03:00,54,347.3333333333333,80,30,26,26
2023-03-04 17:45:00+03:00,52,352.9230769230769,80,30,25,25
2023-03-04 18:00:00+03:00,49,366.1224489795918,80,30,25,25
2023-03-04 18:15:00+03:00,45,374.1111111111111,80,30,23,23
2023-03-04 18:30:00+03:00,46,381.3478260869565,80,30,24,24
2023-03-04 18:45:00+03:00,46,371.5217391304348,80,30,24,24
2023-03-04 19:00:00+03:00,41,370.1951219512195,80,30,21,21
2023-03-04 19:15:00+03:00,36,383.77777777777777,80,30,20,20
2023-03-04 19:30:00+03:00,37,382.4054054054054,80,30,20,20
2023-03-04 19:45:00+03:00,36,394.3888888888889,80,30,20,20
2023-03-04 20:00:00+03:00,34,353.4117647058824,80,30,17,17
2023-03-04 20:15:00+03:00,30,378.1333333333333,80,30,17,17
2023-03-04 20:30:00+03:00,30,376.0,80,30,17,17
2023-03-04 20:45:00+03:00,30,396.73333333333335,80,30,17,17
2023-03-04 21:00:00+03:00,28,408.6428571428572,80,30,17,17
2023-03-04 21:15:00+03:00,26,450.1923076923077,80,30,17,17
2023-03-04 21:30:00+03:00,20,458.35,80,30,14,14
2023-03-04 21:45:00+03:00,24,435.8333333333333,80,30,16,16
2023-03-04 22:00:00+03:00,20,402.55,80,30,13,13
2023-03-04 22:15:00+03:00,17,378.0,80,30,10,10
2023-03-04 22:30:00+03:00,14,401.9285714285714,80,30,9,9
2023-03-04 22:45:00+03:00,13,369.0,80,30,8,8
2023-03-04 23:00:00+03:00,11,359.0,80,30,7,7
2023-03-04 23:15:00+03:00,10,355.0,80,30,7,7
2023-03-04 23:30:00+03:00,8,387.0,80,30,6,6
2023-03-04 23:45:00+03:00,7,359.0,80,30,5,5
2023-03-05 00:00:00+03:00,7,441.0,80,30,6,6
2023-03-05 00:15:00+03:00,6,418.0,80,30,5,5
2023-03-05 00:30:00+03:00,6,403.0,80,30,5,5
2023-03-05 00:45:00+03:00,7,424.0,80,30,6,6
2023-03-05 01:00:00+03:00,6,393.0,80,30,5,5
2023-03-05 01:15:00+03:00,11,403.0,80,30,8,8
2023-03-05 01:30:00+03:00,13,369.0,80,30,8,8
2023-03-05 01:45:00+03:00,10,377.0,80,30,7,7
2023-03-05 02:00:00+03:00,14,364.0,80,30,9,9
2023-03-05 02:15:00+03:00,16,353.0,80,30,9,9
2023-03-05 02:30:00+03:00,22,366.4090909090909,80,30,13,13
2023-03-05 02:45:00+03:00,26,398.5,80,30,15,15
2023-03-05 03:00:00+03:00,39,376.6410256410256,80,30,21,21
2023-03-05 03:15:00+03:00,33,379.1818181818182,80,30,18,18
2023-03-05 03:30:00+03:00,33,357.6363636363636,80,30,17,17
2023-03-05 03:45:00+03:00,45,369.26666666666665,80,30,23,23
2023-03-05 04:00:00+03:00,47,372.4468085106383,80,30,24,24
2023-03-05 04:15:00+03:00,55,403.1454545454545,80,30,30,30
2023-03-05 04:30:00+03:00,57,408.7719298245614,80,30,31,31
2023-03-05 04:45:00+03:00,64,390.4375,80,30,33,33
2023-03-05 05:00:00+03:00,77,376.7922077922078,80,30,38,38
2023-03-05 05:15:00+03:00,97,386.08247422680415,80,30,48,48
2023-03-05 05:30:00+03:00,102,391.8333333333333,80,30,51,51
2023-03-05 05:45:00+03:00,117,408.017094017094,80,30,60,60
2023-03-05 06:00:00+03:00,118,408.1016949152543,80,30,60,60
2023-03-05 06:15:00+03:00,130,420.8615384615385,80,30,68,68
